77,1.21E-05
91,7.70E-06
53,1.22E-05
2,1.58E-05
22,1.62E-05
34,1.50E-05
59,1.42E-05
48,7.80E-06
94,7.90E-06
39,1.02E-05
24,8.50E-06
51,1.45E-05
82,3.37E-05
51,1.01E-05
65,1.33E-05
59,1.96E-05
18,1.03E-05
10,9.10E-06
32,7.90E-06
100,7.80E-06
67,7.20E-06
74,1.06E-05
83,8.10E-06
5,7.30E-06
82,6.70E-06
89,9.00E-06
2,1.52E-05
95,1.08E-05
73,1.20E-05
80,1.05E-05
47,1.76E-05
35,1.16E-05
34,7.50E-06
87,8.00E-06
8,1.00E-05
19,1.16E-05
93,1.44E-05
48,8.80E-06
39,1.04E-05
40,1.12E-05
37,1.07E-05
43,8.00E-06
12,1.02E-05
24,1.04E-05
37,1.45E-05
75,1.13E-05
53,1.48E-05
19,9.40E-06
21,1.25E-05
58,8.10E-06
12,7.30E-06
38,9.80E-06
96,8.10E-06
88,1.60E-05
11,1.09E-05
28,1.11E-05
75,1.01E-05
89,1.07E-05
6,1.02E-05
44,8.10E-06
23,8.50E-06
37,1.00E-05
66,1.16E-05
59,1.03E-05
92,1.01E-05
90,9.90E-06
5,8.50E-06
63,7.40E-06
90,7.70E-06
44,9.50E-06
28,8.50E-06
13,8.00E-06
96,1.52E-05
75,8.50E-06
97,1.67E-05
70,1.06E-05
98,1.62E-05
3,7.20E-06
25,8.00E-06
56,7.70E-06
62,1.43E-05
63,1.48E-05
51,1.05E-05
90,1.05E-05
53,9.90E-06
1,5.50E-06
90,1.20E-05
40,8.30E-06
16,1.14E-05
98,1.18E-05
86,1.06E-05
56,1.55E-05
7,8.70E-06
23,1.14E-05
78,8.90E-06
79,9.30E-06
80,1.23E-05
76,8.70E-06
37,7.25E-05
49,9.80E-06
